Word:                 vara förtvivlad  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                       ramponera  			 HumanPositive: 0,000000 			 RobotPositive: 0,375000 			 Skillnad: -0,375000
Word:                           gissa  			 HumanPositive: 0,666667 			 RobotPositive: 1,000000 			 Skillnad: -0,333333
Word:                           sköta  			 HumanPositive: 1,000000 			 RobotPositive: 0,693333 			 Skillnad: 0,306667
Word:                           börja  			 HumanPositive: 1,000000 			 RobotPositive: 0,363636 			 Skillnad: 0,636364
Word:                 dölja sanningen  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                       förebygga  			 HumanPositive: 1,000000 			 RobotPositive: 0,000000 			 Skillnad: 1,000000
Word:                          krossa  			 HumanPositive: 0,000000 			 RobotPositive: 0,058824 			 Skillnad: -0,058824
Word:          vara mycket förtjust i  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          beveka  			 HumanPositive: 0,666667 			 RobotPositive: 0,727273 			 Skillnad: -0,060606
Word:                           harma  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                        klargöra  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          krampa  			 HumanPositive: 0,000000 			 RobotPositive: 0,875000 			 Skillnad: -0,875000
Word:                          tracka  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                       tillgripa  			 HumanPositive: 0,000000 			 RobotPositive: 1,000000 			 Skillnad: -1,000000
Word:                        alarmera  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                       få fatt i  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     vinna gehör  			 HumanPositive: 1,000000 			 RobotPositive: 0,916667 			 Skillnad: 0,083333
Word:                         utvinna  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                            yrka  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                  stödja med ris  			 HumanPositive: 0,750000 			 RobotPositive: 0,000000 			 Skillnad: 0,750000
Word:                          iaktta  			 HumanPositive: 0,666667 			 RobotPositive: 0,882353 			 Skillnad: -0,215686
Word:                      plåstra om  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                      underbygga  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                       misstycka  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                    göra intrång  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                          trotsa  			 HumanPositive: 0,333333 			 RobotPositive: 0,000000 			 Skillnad: 0,333333
Word:                    falla samman  			 HumanPositive: 0,250000 			 RobotPositive: 0,000000 			 Skillnad: 0,250000
Word:                         sauvera  			 HumanPositive: 0,250000 			 RobotPositive: 1,000000 			 Skillnad: -0,750000
Word:                    opponera sig  			 HumanPositive: 0,250000 			 RobotPositive: 0,000000 			 Skillnad: 0,250000
Word:                     säkerställa  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                       rädda sig  			 HumanPositive: 1,000000 			 RobotPositive: 0,916667 			 Skillnad: 0,083333
Word:                   vara anställd  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                         beräkna  			 HumanPositive: 1,000000 			 RobotPositive: 0,974684 			 Skillnad: 0,025316
Word:                          åtlyda  			 HumanPositive: 0,000000 			 RobotPositive: 0,965517 			 Skillnad: -0,965517
Word:                          beivra  			 HumanPositive: 0,250000 			 RobotPositive: 0,000000 			 Skillnad: 0,250000
Word:                         hänföra  			 HumanPositive: 0,750000 			 RobotPositive: 0,666667 			 Skillnad: 0,083333
Word:                           passa  			 HumanPositive: 1,000000 			 RobotPositive: 0,933333 			 Skillnad: 0,066667
Word:                   bereda sig på  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                 tillfredsställa  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                           piska  			 HumanPositive: 0,000000 			 RobotPositive: 0,600000 			 Skillnad: -0,600000
Word:                        bygga på  			 HumanPositive: 0,833333 			 RobotPositive: 0,941176 			 Skillnad: -0,107843
Word:                       överklaga  			 HumanPositive: 0,000000 			 RobotPositive: 0,026316 			 Skillnad: -0,026316
Word:                           sluta  			 HumanPositive: 0,000000 			 RobotPositive: 0,250000 			 Skillnad: -0,250000
Word:                       gå med på  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                    behärska sig  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                           satsa  			 HumanPositive: 1,000000 			 RobotPositive: 0,400000 			 Skillnad: 0,600000
Word:                     eftertrakta  			 HumanPositive: 0,666667 			 RobotPositive: 1,000000 			 Skillnad: -0,333333
Word:                           godta  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          klaffa  			 HumanPositive: 1,000000 			 RobotPositive: 0,950000 			 Skillnad: 0,050000
Word:                       strunta i  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                            akta  			 HumanPositive: 0,000000 			 RobotPositive: 0,972727 			 Skillnad: -0,972727
Word:                      ha hand om  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                              ro  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                        bete sig  			 HumanPositive: 1,000000 			 RobotPositive: 0,857143 			 Skillnad: 0,142857
Word:                      protestera  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                        blessera  			 HumanPositive: 0,666667 			 RobotPositive: 0,000000 			 Skillnad: 0,666667
Word:                          trösta  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          stjäla  			 HumanPositive: 0,000000 			 RobotPositive: 0,928571 			 Skillnad: -0,928571
Word:                  ge skulden för  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
